method,value_error,num_rollouts,k,exp,time_minutes
PW0.8,0.04400000000000001,100,2,0.8,1.1812897682189942
PW0.2,0.010000000000000009,100,3,0.2,0.7429938117663065
PW0.5,0.010000000000000009,100,3,0.5,0.8764166156450908
PW0.8,0.0020000000000000018,100,3,0.8,1.3974485794703166
PW0.2,0.028000000000000025,100,4,0.2,0.719592297077179
PW0.5,0.02200000000000002,100,4,0.5,0.926339880625407
PW0.8,0.036000000000000004,100,4,0.8,1.3861961046854654
AR,0.06200000000000003,100,2,0.1,1.2927485545476278
PW0.2,0.028000000000000025,200,1,0.2,1.0950432062149047
PW0.5,0.028000000000000025,200,1,0.5,1.4822399775187174
PW0.8,0.018000000000000016,200,1,0.8,1.784323763847351
PW0.2,0.038000000000000006,200,2,0.2,1.4738488992055256
PW0.5,0.001999999999999974,200,2,0.5,1.5872377514839173
PW0.8,0.064,200,2,0.8,2.8009734034538267
PW0.2,0.038000000000000006,200,3,0.2,1.4487547794977824
PW0.5,0.009999999999999981,200,3,0.5,1.7514108896255494
PW0.8,0.05600000000000002,200,3,0.8,4.086471045017243
PW0.2,0.015999999999999986,200,4,0.2,1.4916936000188192
PW0.5,0.08400000000000002,200,4,0.5,1.8756266117095948
PW0.8,0.0020000000000000018,200,4,0.8,4.089860304196676
AR,0.038000000000000006,200,2,0.1,3.1716909329096477
PW0.2,0.04000000000000001,500,1,0.2,2.3377466201782227
PW0.5,0.07,500,1,0.5,3.748134116331736
PW0.8,0.04400000000000001,500,1,0.8,5.517981910705567
PW0.2,0.04400000000000001,500,2,0.2,3.632346828778585
PW0.5,0.05000000000000002,500,2,0.5,4.114949063460032
PW0.8,0.01200000000000001,500,2,0.8,9.532178139686584
PW0.2,0.020000000000000018,500,3,0.2,3.7545696258544923
PW0.5,0.0,500,3,0.5,4.541974989573161
PW0.8,0.05000000000000002,500,3,0.8,14.964802380402883
PW0.2,0.066,500,4,0.2,3.970236825942993
PW0.5,0.00799999999999998,500,4,0.5,5.278392358620962
PW0.8,0.08800000000000002,500,4,0.8,19.350042204062145
AR,0.02400000000000002,500,2,0.1,11.26694395939509
PW0.2,0.00799999999999998,1000,1,0.2,4.36774408419927
PW0.5,0.07400000000000001,1000,1,0.5,7.983935304482778
PW0.8,0.003999999999999976,1000,1,0.8,14.6185538093249
PW0.2,0.034,1000,2,0.2,6.9538207729657495
PW0.5,0.016000000000000014,1000,2,0.5,9.405305178960164
PW0.8,0.068,1000,2,0.8,25.66672437588374
PW0.2,0.07,1000,3,0.2,7.796773612499237
PW0.5,0.016000000000000014,1000,3,0.5,10.271542032559713
PW0.8,0.0020000000000000018,1000,3,0.8,44.219261674086255
PW0.2,0.026000000000000023,1000,4,0.2,8.135288588205974
PW0.5,0.018000000000000016,1000,4,0.5,11.313134308656057
PW0.8,0.001999999999999974,1000,4,0.8,73.93979962666829
AR,0.020000000000000018,1000,2,0.1,32.780072470506035
PW0.2,0.04600000000000001,10,1,0.2,0.08122740189234416
PW0.5,0.018000000000000016,10,1,0.5,0.07912708123524984
PW0.8,0.07,10,1,0.8,0.08796219428380331
PW0.2,0.060000000000000026,10,2,0.2,0.08366898695627849
PW0.5,0.00799999999999998,10,2,0.5,0.09249057372411092
PW0.8,0.005999999999999978,10,2,0.8,0.08363340695699056
PW0.2,0.04600000000000001,10,3,0.2,0.08282880385716757
PW0.5,0.027999999999999997,10,3,0.5,0.08636043071746827
PW0.8,0.034,10,3,0.8,0.08904285033543904
PW0.2,0.036000000000000004,10,4,0.2,0.08492209513982137
PW0.5,0.016000000000000014,10,4,0.5,0.08489325046539306
PW0.8,0.014000000000000012,10,4,0.8,0.09126030604044597
AR,0.02200000000000002,10,2,0.1,0.08597546418507894
PW0.2,0.04600000000000001,20,1,0.2,0.15196048418680827
PW0.5,0.064,20,1,0.5,0.14579833348592122
PW0.8,0.030000000000000027,20,1,0.8,0.15643555720647176
PW0.2,0.05199999999999999,20,2,0.2,0.14881717363993327
PW0.5,0.005999999999999978,20,2,0.5,0.16830226182937622
PW0.8,0.09600000000000003,20,2,0.8,0.18337621291478476
PW0.2,0.016000000000000014,20,3,0.2,0.16239893833796185
PW0.5,0.068,20,3,0.5,0.16141276359558104
PW0.8,0.04600000000000001,20,3,0.8,0.17619389295578003
PW0.2,0.07800000000000001,20,4,0.2,0.1774641195933024
PW0.5,0.0,20,4,0.5,0.17444850206375123
PW0.8,0.0020000000000000018,20,4,0.8,0.181725013256073
AR,0.008000000000000007,20,2,0.1,0.19596925179163616
PW0.2,0.038000000000000006,50,1,0.2,0.3499149521191915
PW0.5,0.06200000000000003,50,1,0.5,0.3618173082669576
PW0.8,0.060000000000000026,50,1,0.8,0.40733784437179565
PW0.2,0.034,50,2,0.2,0.35682315031687417
PW0.5,0.05400000000000002,50,2,0.5,0.3913905700047811
PW0.8,0.02200000000000002,50,2,0.8,0.47973225911458334
PW0.2,0.04400000000000001,50,3,0.2,0.367387334505717
PW0.5,0.00799999999999998,50,3,0.5,0.45408307313919066
PW0.8,0.01200000000000001,50,3,0.8,0.5588590900103251
PW0.2,0.038000000000000006,50,4,0.2,0.4064389665921529
PW0.5,0.0,50,4,0.5,0.4483353892962138
PW0.8,0.06200000000000003,50,4,0.8,0.5164034565289816
AR,0.04400000000000001,50,2,0.1,0.5399989366531373
PW0.2,0.034,100,1,0.2,0.6038706143697102
PW0.5,0.011999999999999983,100,1,0.5,0.7015237291653951
PW0.8,0.05200000000000002,100,1,0.8,0.8161394794782003
PW0.2,0.008000000000000007,100,2,0.2,0.7292204618453979
PW0.5,0.010000000000000009,100,2,0.5,0.8098673820495605
PW0.8,0.005999999999999978,100,2,0.8,1.182456370194753
PW0.2,0.034,100,3,0.2,0.7662806351979573
PW0.5,0.003999999999999976,100,3,0.5,0.904870863755544
PW0.8,0.033999999999999975,100,3,0.8,1.429072137673696
PW0.2,0.04000000000000001,100,4,0.2,0.7546557386716207
PW0.5,0.07600000000000001,100,4,0.5,0.9849786321322124
PW0.8,0.028000000000000025,100,4,0.8,1.4205891092618306
AR,0.00799999999999998,100,2,0.1,1.2995152155558267
PW0.2,0.0020000000000000018,200,1,0.2,1.1097184062004088
PW0.5,0.06200000000000003,200,1,0.5,1.4749314308166503
PW0.8,0.06200000000000003,200,1,0.8,1.8163178443908692
PW0.2,0.009999999999999981,200,2,0.2,2.185846491654714
PW0.5,0.048000000000000015,200,2,0.5,1.54940261443456
PW0.8,0.018000000000000016,200,2,0.8,2.8310386459032695
PW0.2,0.010000000000000009,200,3,0.2,1.5474829157193501
PW0.5,0.04600000000000001,200,3,0.5,1.8649840474128723
PW0.8,0.036000000000000004,200,3,0.8,4.157806054751078
PW0.2,0.07600000000000001,200,4,0.2,1.4821866313616434
PW0.5,0.05400000000000002,200,4,0.5,2.0925148328145347
PW0.8,0.03799999999999998,200,4,0.8,4.2238577723503115
AR,0.017999999999999988,200,2,0.1,4.227950751781464
PW0.2,0.036000000000000004,500,1,0.2,2.536021355787913
PW0.5,0.02400000000000002,500,1,0.5,6.295670652389527
PW0.8,0.030000000000000027,500,1,0.8,15.967335657278698
PW0.2,0.068,500,2,0.2,4.405861826737722
PW0.5,0.038000000000000006,500,2,0.5,4.298161125183105
PW0.8,0.036000000000000004,500,2,0.8,9.732955932617188
PW0.2,0.05600000000000002,500,3,0.2,4.056787276268006
PW0.5,0.07,500,3,0.5,4.848432445526123
PW0.8,0.05200000000000002,500,3,0.8,15.866705973943075
PW0.2,0.0020000000000000018,500,4,0.2,3.441176088651021
PW0.5,0.034,500,4,0.5,3.3244962294896445
PW0.8,0.02200000000000002,500,4,0.8,13.915963669617971
AR,0.07600000000000001,500,2,0.1,7.661107909679413
PW0.2,0.02200000000000002,1000,1,0.2,2.956404459476471
PW0.5,0.07600000000000001,1000,1,0.5,6.594857962926229
PW0.8,0.018000000000000016,1000,1,0.8,14.9036425948143
PW0.2,0.07200000000000001,1000,2,0.2,5.97015947898229
PW0.5,0.09200000000000003,1000,2,0.5,7.324324802557627
PW0.8,0.05400000000000002,1000,2,0.8,23.920801746845246
PW0.2,0.04400000000000001,1000,3,0.2,6.952734792232514
PW0.5,0.05600000000000002,1000,3,0.5,10.502220829327902
PW0.8,0.018000000000000016,1000,3,0.8,39.071207988262174
PW0.2,0.048000000000000015,1000,4,0.2,5.878809857368469
PW0.5,0.05000000000000002,1000,4,0.5,8.301370720068613
PW0.8,0.038000000000000006,1000,4,0.8,52.06975047588348
AR,0.014000000000000012,1000,2,0.1,23.546485165754955
PW0.2,0.001999999999999974,10,1,0.2,0.056417409578959146
PW0.5,0.008000000000000007,10,1,0.5,0.05861559708913167
PW0.8,0.048000000000000015,10,1,0.8,0.06074839433034261
PW0.2,0.016000000000000014,10,2,0.2,0.0596435825030009
PW0.5,0.04000000000000001,10,2,0.5,0.06377763350804647
PW0.8,0.0,10,2,0.8,0.062430620193481445
PW0.2,0.03799999999999998,10,3,0.2,0.05898901621500651
PW0.5,0.01200000000000001,10,3,0.5,0.06189908981323242
PW0.8,0.023999999999999994,10,3,0.8,0.07843568325042724
PW0.2,0.010000000000000009,10,4,0.2,0.06116080681482951
PW0.5,0.003999999999999976,10,4,0.5,0.061578269799550375
PW0.8,0.009999999999999981,10,4,0.8,0.061727070808410646
AR,0.028000000000000025,10,2,0.1,0.06644510428110759
PW0.2,0.010000000000000009,20,1,0.2,0.10900906324386597
PW0.5,0.04000000000000001,20,1,0.5,0.1109597365061442
PW0.8,0.013999999999999985,20,1,0.8,0.11703714927037558
PW0.2,0.005999999999999978,20,2,0.2,0.10917265812555949
PW0.5,0.01999999999999999,20,2,0.5,0.12519192695617676
PW0.8,0.064,20,2,0.8,0.13389260371526082
PW0.2,0.034,20,3,0.2,0.1175739606221517
PW0.5,0.026000000000000023,20,3,0.5,0.12091211477915446
PW0.8,0.05599999999999998,20,3,0.8,0.1323628028233846
PW0.2,0.068,20,4,0.2,0.11791515350341797
PW0.5,0.013999999999999985,20,4,0.5,0.12377906640370687
PW0.8,0.034,20,4,0.8,0.1274588147799174
AR,0.02200000000000002,20,2,0.1,0.13848202228546141
PW0.2,0.01200000000000001,50,1,0.2,0.24668817122777303
PW0.5,0.03,50,1,0.5,0.27779302597045896
PW0.8,0.02200000000000002,50,1,0.8,0.280866809686025
PW0.2,0.04600000000000001,50,2,0.2,0.260889999071757
PW0.5,0.02200000000000002,50,2,0.5,0.28417506217956545
PW0.8,0.066,50,2,0.8,0.3604382276535034
PW0.2,0.016000000000000014,50,3,0.2,0.26418062845865886
PW0.5,0.034,50,3,0.5,0.3108491818110148
PW0.8,0.01200000000000001,50,3,0.8,0.3942282756169637
PW0.2,0.018000000000000016,50,4,0.2,0.2845792969067891
PW0.5,0.027999999999999997,50,4,0.5,0.3177069425582886
PW0.8,0.0040000000000000036,50,4,0.8,0.3978470047314962
AR,0.07,50,2,0.1,0.3982624888420105
PW0.2,0.00799999999999998,100,1,0.2,0.522999382019043
PW0.5,0.07,100,1,0.5,0.531467096010844
PW0.8,0.02400000000000002,100,1,0.8,0.7529744466145833
PW0.2,0.02400000000000002,100,2,0.2,2.319568419456482
PW0.5,0.028000000000000025,100,2,0.5,2.3454068342844647
PW0.8,0.05000000000000002,100,2,0.8,3.305664054552714
PW0.2,0.034,100,3,0.2,1.99370889266332
PW0.5,0.07,100,3,0.5,0.7788188815116882
PW0.8,0.010000000000000009,100,3,0.8,1.3624035795529683
PW0.2,0.07400000000000001,100,4,0.2,0.6935246785481771
PW0.5,0.021999999999999992,100,4,0.5,1.6867607752482097
PW0.8,0.003999999999999976,100,4,0.8,4.093126126130422
AR,0.060000000000000026,100,2,0.1,3.7150861700375875
PW0.2,0.07600000000000001,200,1,0.2,3.175929339726766
PW0.5,0.11599999999999999,200,1,0.5,4.336238904794057
PW0.8,0.07,200,1,0.8,5.22810298204422
PW0.2,0.036000000000000004,200,2,0.2,3.095064655939738
PW0.5,0.028000000000000025,200,2,0.5,1.378345501422882
PW0.8,0.011999999999999983,200,2,0.8,2.4334314028422037
PW0.2,0.030000000000000027,200,3,0.2,1.3099271297454833
PW0.5,0.04000000000000001,200,3,0.5,1.6243233640988668
PW0.8,0.060000000000000026,200,3,0.8,3.6610954801241555
PW0.2,0.048000000000000015,200,4,0.2,1.29699760278066
PW0.5,0.017999999999999988,200,4,0.5,1.662056279182434
PW0.8,0.014000000000000012,200,4,0.8,3.5682082811991376
AR,0.036000000000000004,200,2,0.1,3.7693532069524127
PW0.2,0.036000000000000004,500,1,0.2,1.9234751065572102
PW0.5,0.02400000000000002,500,1,0.5,2.745035926500956
PW0.8,0.011999999999999983,500,1,0.8,5.372396703561147
PW0.2,0.04000000000000001,500,2,0.2,3.599960192044576
PW0.5,0.028000000000000025,500,2,0.5,3.509776544570923
PW0.8,0.034,500,2,0.8,7.299403111139934
PW0.2,0.034,500,3,0.2,2.6754353006680804
PW0.5,0.06200000000000003,500,3,0.5,3.229637841383616
PW0.8,0.05600000000000002,500,3,0.8,10.45644370317459
PW0.2,0.048000000000000015,500,4,0.2,2.737839380900065
PW0.5,0.038000000000000006,500,4,0.5,3.6287200331687925
PW0.8,0.016000000000000014,500,4,0.8,13.97683401107788
AR,0.05000000000000002,500,2,0.1,7.966021156311035
PW0.2,0.00799999999999998,1000,1,0.2,3.039407753944397
PW0.5,0.0020000000000000018,1000,1,0.5,5.601867651939392
PW0.8,0.030000000000000027,1000,1,0.8,11.646374348799387
PW0.2,0.02200000000000002,1000,2,0.2,5.939433324337005
PW0.5,0.036000000000000004,1000,2,0.5,7.967114194234212
PW0.8,0.09800000000000003,1000,2,0.8,24.528888205687206
PW0.2,0.014000000000000012,1000,3,0.2,7.855365471045176
PW0.5,0.01200000000000001,1000,3,0.5,12.100746083259583
PW0.8,0.05000000000000002,1000,3,0.8,55.89243656396866
PW0.2,0.07200000000000001,1000,4,0.2,7.341115919748942
PW0.5,0.038000000000000006,1000,4,0.5,10.144202188650768
PW0.8,0.05200000000000002,1000,4,0.8,66.61640514135361
AR,0.10000000000000003,1000,2,0.1,754.3759313066801
